gen_n50000_d10.in,scikit_z1,alternate,5000,21799.2477,29.13879656791687
gen_n50000_d10.in,clustering_z1,grid_hashing 60042651f648e052,2813,13098.7139,260.4148712158203
gen_n50000_d10.in,clustering_z1,face_hashing 60042651f648e052,4044,12477.6296,102.14765954017639
gen_n100000_d2.in,scikit_z1,alternate,10000,17934.8143,24294.15381026268
gen_n100000_d2.in,clustering_z1,grid_hashing 60042651f648e052,9091,2220.1781,164.9919080734253
gen_n100000_d2.in,clustering_z1,face_hashing 60042651f648e052,9004,2195.9363,144.71162509918213
gen_n100000_d5.in,scikit_z1,alternate,10000,32935.0914,583.2077944278717
gen_n100000_d5.in,clustering_z1,grid_hashing 60042651f648e052,7806,12487.9850,267.7010316848755
gen_n100000_d5.in,clustering_z1,face_hashing 60042651f648e052,6673,12959.4738,206.20194673538208
gen_n100000_d10.in,scikit_z1,alternate,10000,46663.3187,543.7286190986633
gen_n100000_d10.in,clustering_z1,grid_hashing 60042651f648e052,3920,26662.3740,563.1378829479218
gen_n100000_d10.in,clustering_z1,face_hashing 60042651f648e052,3731,26797.9977,306.27182936668396
gen_n500000_d2.in,clustering_z1,grid_hashing 60042651f648e052,33904,6977.7744,1688.0281567573547
gen_n500000_d2.in,clustering_z1,face_hashing 60042651f648e052,37586,6574.5241,1459.5088036060333
gen_n500000_d5.in,clustering_z1,grid_hashing 60042651f648e052,20654,62803.5548,3226.9354071617126
gen_n500000_d5.in,clustering_z1,face_hashing 60042651f648e052,24755,59910.8483,2460.858642578125
